127
0,0
0,1
0,2
120,0
0,1
0,2
120,0
0,1
120,1
0,2
120,0
0,2
120,1
30,2
30,1
30,0
30,1
30,2
30,1
30,0
120,2
30,1
30,2
30,1
30,2
30,1
120,0
30,1
30,0
30,1
30,0
30,1
60,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
30,0
0,1
0,2
90,0
0,2
30,0
0,2
30,0
0,2
60,1
30,1
30,1
120,2
30,2
30,2
30,0
30,0
30,0
30,1
30,1
30,1
30,0
30,0
30,0
30,2
30,2
30,2
90,1
15,2
15,1
15,0
15,1
15,2
15,1
15,0
15,1
15,2
15,1
15,0
15,1
15,2
15,1
15,0
15,1
15,2
15,1
15,0
120,2
0,1
30,1
0,0
30,2
0,0
30,2
0,1
30,1
0,0
30,2
0,0
30,2
0,1
30,1
0,0
30,2
0,0
30,2
0,1
30,1
0,0
30,2
0,0

